Rank,University Name,Official Website,City,Country,Study Level,Bachelor,Master,Program Category,Program Name,Program URL,Course Intensity,Full Time,Part Time,Study Mode,On Campus,Online,Hybrid,Programme Duration,eu,non eu,arab,lebanese,pal,us,TOEFL,IELTS,SAT,GPA,Languages,english,french,arabic,german,spanish,catalan,italian,Engineering,Computing & Technology,Data Science & Artificial Intelligence,Health & Medicine,Life Sciences,Natural & Physical Sciences,Social Sciences,Psychology & Behavioral Sciences,Business & Management,Law & Governance,Education,"Arts, Design & Architecture",Humanities & Languages,Environment & Agriculture,Media & Communication,Hospitality & Tourism,Sports & Events,"Transport, Aviation & Maritime",Interdisciplinary & Emerging Fields
5,Harvard University,https://www.harvard.edu/,Cambridge,United States,Master,0,1,Life Sciences,Biotechnology,https://www.extension.harvard.edu/academics/graduate-degrees/biotechnology-degree,Part Time,0,1,Blended,0,0,1,5,14175,14175,14175,14175,14175,14175,80,,,3.4,English,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Harvard University,https://www.harvard.edu/,Cambridge,United States,Master,0,1,Engineering,Software  Engineering,https://www.extension.harvard.edu/academics/graduate-degrees/software-Engineering and Technology -degree,Part Time,0,1,Blended,0,0,1,5,14175,14175,14175,14175,14175,14175,80,,,3.4,English,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Harvard University,https://www.harvard.edu/,Cambridge,United States,Master,0,1,Life Sciences,Biology,https://www.extension.harvard.edu/academics/graduate-degrees/biology-degree,Part Time,0,1,Blended,0,0,1,5,14175,14175,14175,14175,14175,14175,80,,,3.4,English,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Harvard University,https://www.harvard.edu/,Cambridge,United States,Master,0,1,Psychology & Behavioral Sciences,Industrial-Organizational Psychology,https://www.extension.harvard.edu/academics/graduate-degrees/industrial-organizational-psychology-degree,Part Time,0,1,Blended,0,0,1,5,14175,14175,14175,14175,14175,14175,80,,,3.4,English,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5,Harvard University,https://www.harvard.edu/,Cambridge,United States,Master,0,1,Psychology & Behavioral Sciences,Psychology,https://www.extension.harvard.edu/academics/graduate-degrees/psychology-degree,Part Time,0,1,Blended,0,0,1,5,14175,14175,14175,14175,14175,14175,80,,,3.4,English,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5,Harvard University,https://www.harvard.edu/,Cambridge,United States,Master,0,1,Data Science & Artificial Intelligence,Sustainability,https://www.extension.harvard.edu/academics/graduate-degrees/sustainability-degree,Part Time,0,1,Blended,0,0,1,5,14175,14175,14175,14175,14175,14175,80,,,3.4,English,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Harvard University,https://www.harvard.edu/,Cambridge,United States,Master,0,1,Social Sciences,Anthropology & Archaeology,https://www.extension.harvard.edu/academics/graduate-degrees/anthropology-archaeology-degree,Part Time,0,1,Blended,0,0,1,5,14175,14175,14175,14175,14175,14175,80,,,3.4,English,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5,Harvard University,https://www.harvard.edu/,Cambridge,United States,Master,0,1,Data Science & Artificial Intelligence,Data Science,https://www.extension.harvard.edu/academics/graduate-degrees/data-science-degree,Part Time,0,1,Blended,0,0,1,5,14175,14175,14175,14175,14175,14175,80,,,3.4,English,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Harvard University,https://www.harvard.edu/,Cambridge,United States,Master,0,1,Interdisciplinary & Emerging Fields,Global Development Practice,https://www.extension.harvard.edu/academics/graduate-degrees/global-development-practice-degree,Part Time,0,1,Blended,0,0,1,5,14175,14175,14175,14175,14175,14175,80,,,3.4,English,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
5,Harvard University,https://www.harvard.edu/,Cambridge,United States,Master,0,1,Social Sciences,Government,https://www.extension.harvard.edu/academics/graduate-degrees/government-degree,Part Time,0,1,Blended,0,0,1,5,14175,14175,14175,14175,14175,14175,80,,,3.4,English,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
